Block Name,Cell ID,vtkOriginalCellIds,Cell Type,CellIds
mesh,0,0,10,2228
mesh,1,1,10,2233
mesh,2,2,10,2255
mesh,3,3,10,2257
mesh,4,4,10,2393
mesh,5,5,10,2481
mesh,6,6,10,2487
mesh,7,7,10,2593
mesh,8,8,10,2597
mesh,9,9,10,2598
mesh,10,10,10,2656
mesh,11,11,10,2691
mesh,12,12,10,2698
mesh,13,13,10,2834
mesh,14,14,10,2837
mesh,15,15,10,2903
mesh,16,16,10,2927
mesh,17,17,10,2928
mesh,18,18,10,2931
mesh,19,19,10,3051
mesh,20,20,10,3056
mesh,21,21,10,3098
mesh,22,22,10,3120
mesh,23,23,10,3151
mesh,24,24,10,3157
mesh,25,25,10,3203
mesh,26,26,10,3314
mesh,27,27,10,3342
mesh,28,28,10,3383
mesh,29,29,10,3424
mesh,30,30,10,3451
mesh,31,31,10,3469
mesh,32,32,10,3573
mesh,33,33,10,3615
mesh,34,34,10,3636
mesh,35,35,10,3647
mesh,36,36,10,3674
mesh,37,37,10,3794
mesh,38,38,10,3799
mesh,39,39,10,3815
mesh,40,40,10,3919
mesh,41,41,10,3976
mesh,42,42,10,4002
mesh,43,43,10,4023
mesh,44,44,10,4024
mesh,45,45,10,4046
mesh,46,46,10,4070
mesh,47,47,10,4218
mesh,48,48,10,4250
mesh,49,49,10,4251
mesh,50,50,10,4268
mesh,51,51,10,4293
mesh,52,52,10,4433
mesh,53,53,10,4476
mesh,54,54,10,4477
mesh,55,55,10,4502
mesh,56,56,10,4503
mesh,57,57,10,4551
