Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,3727,5,14
ft,1,3729,5,14
ft,2,3730,5,14
ft,3,3731,5,14
ft,4,3765,5,14
ft,5,3766,5,14
ft,6,3767,5,14
ft,7,3808,5,14
ft,8,3809,5,14
ft,9,3810,5,14
ft,10,3811,5,14
ft,11,3812,5,14
ft,12,3813,5,14
ft,13,3814,5,14
ft,14,3815,5,14
ft,15,3816,5,14
ft,16,3826,5,14
ft,17,3827,5,14
ft,18,3828,5,14
ft,19,3829,5,14
ft,20,3864,5,14
ft,21,3865,5,14
ft,22,3868,5,14
ft,23,3869,5,14
ft,24,3870,5,14
ft,25,3902,5,14
ft,26,3904,5,14
ft,27,3910,5,14
ft,28,3937,5,14
ft,29,3942,5,14
ft,30,3947,5,14
ft,31,4032,5,14
ft,32,4034,5,14
ft,33,4036,5,14
ft,34,4043,5,14
ft,35,4047,5,14
ft,36,4066,5,14
ft,37,4067,5,14
ft,38,4068,5,14
ft,39,4131,5,14
ft,40,4132,5,14
ft,41,4195,5,14
ft,42,4205,5,14
ft,43,4206,5,14
ft,44,4252,5,14
ft,45,4285,5,14
ft,46,4287,5,14
ft,47,4304,5,14
ft,48,4309,5,14
ft,49,4310,5,14
ft,50,4373,5,14
ft,51,4376,5,14
ft,52,4378,5,14
ft,53,4420,5,14
ft,54,4503,5,14
ft,55,4507,5,14
ft,56,4508,5,14
ft,57,4769,5,14
ft,58,4770,5,14
ft,59,4885,5,14
ft,60,4887,5,14
ft,61,4925,5,14
ft,62,4927,5,14
ft,63,4931,5,14
ft,64,4932,5,14
ft,65,4933,5,16
ft,66,4934,5,14
ft,67,4983,5,14
ft,68,4987,5,14
ft,69,4990,5,14
ft,70,4995,5,14
ft,71,4996,5,14
ft,72,5107,5,14
ft,73,5201,5,14
ft,74,5284,5,14
ft,75,5287,5,14
ft,76,5288,5,14
ft,77,5316,5,14
